Run_ID,steps,T_total,N0,N_end
874,912,911.0,49387,10021
875,870,869.0,49387,10006
876,911,910.0,49383,10004
877,885,884.0,49382,10017
878,879,878.0,49383,10003
879,899,898.0,49382,10010
880,895,894.0,49385,10015
881,889,888.0,49384,10000
882,874,873.0,49385,10010
883,894,893.0,49385,10016
884,889,888.0,49383,10006
885,888,887.0,49386,10011
886,883,882.0,49384,10002
887,864,863.0,49392,10015
888,900,899.0,49381,10010
889,894,893.0,49382,10012
890,913,912.0,49378,10013
891,885,884.0,49382,10016
892,891,890.0,49386,10021
893,885,884.0,49385,10013
894,886,885.0,49386,10006
895,902,901.0,49380,10007
896,883,882.0,49387,10008
897,888,887.0,49384,10015
898,887,886.0,49389,10016
899,889,888.0,49383,10013
900,885,884.0,49384,10005
901,901,900.0,49380,10004
902,900,899.0,49380,10002
903,892,891.0,49394,9999
904,876,875.0,49385,10004
905,900,899.0,49381,10018
906,888,887.0,49383,10009
907,930,929.0,49384,10005
908,883,882.0,49383,10013
909,901,900.0,49390,10009
910,976,975.0,49381,10020
911,888,887.0,49383,10020
912,882,881.0,49387,10013
913,889,888.0,49383,10003
914,888,887.0,49382,10017
915,963,962.0,49383,10012
916,879,878.0,49387,10005
917,869,868.0,49388,10001
918,918,917.0,49383,10018
919,917,916.0,49386,10005
920,944,943.0,49380,10004
921,921,920.0,49381,10004
922,884,883.0,49385,10015
923,889,888.0,49387,10009
924,890,889.0,49390,10009
925,877,876.0,49392,10007
926,889,888.0,49382,10017
927,881,880.0,49383,10008
928,945,944.0,49377,10002
929,890,889.0,49382,10008
930,901,900.0,49380,10018
931,889,888.0,49383,10010
932,902,901.0,49380,10001
933,901,900.0,49387,10004
934,902,901.0,49381,10003
935,863,862.0,49385,9999
936,914,913.0,49378,10012
937,877,876.0,49384,9996
938,895,894.0,49387,10008
939,993,992.0,49381,10009
940,895,894.0,49386,10006
941,894,893.0,49388,10007
942,976,975.0,49392,10002
943,901,900.0,49379,10006
944,891,890.0,49387,10013
945,906,905.0,49384,10001
946,893,892.0,49384,10017
