sim_call,batch,evac,cost_proxy,widths
166,4,1159.7686242936138,4405.34,"[4,0,2,4,4,0,2,4,0,2,2,2,4,4,0]"
167,4,1260.2772781592432,2649.4300000000003,"[2,0,0,4,0,2,0,0,0,4,0,4,4,0,4]"
168,4,1221.557665275865,2693.8,"[4,0,4,0,2,2,2,0,4,2,0,0,0,4,0]"
169,4,1210.6411121913675,2640.1300000000006,"[4,2,4,2,0,2,0,2,4,0,0,0,2,0,4]"
170,4,1288.3504688987462,2026.2200000000003,"[2,2,0,4,2,0,0,0,0,0,0,2,2,0,2]"
171,4,1313.8630106742824,1409.0500000000002,"[0,0,0,0,0,0,4,0,0,4,0,0,2,0,4]"
172,4,1194.2416286889063,2653.55,"[2,0,2,2,0,2,0,0,4,4,0,0,4,4,4]"
173,4,1141.5937392396347,4102.610000000001,"[2,2,4,2,2,2,2,2,2,2,4,0,4,2,4]"
174,4,1139.5742986773612,4935.810000000001,"[4,4,2,0,4,0,0,0,0,4,4,4,4,4,4]"
175,4,1181.647708168763,2130.6300000000006,"[0,0,4,0,2,0,0,0,0,4,2,0,4,0,4]"
176,4,1342.5432451591996,1674.68,"[0,2,0,0,4,0,0,0,0,0,0,2,0,2,0]"
177,4,1176.6782564663467,2573.57,"[0,0,4,0,0,0,4,0,0,0,4,0,4,4,4]"
178,4,1198.3359158210285,2709.4,"[0,2,2,0,2,4,0,0,0,2,0,2,4,0,4]"
179,4,1286.6471076723649,1344.8300000000002,"[2,0,2,0,0,0,0,0,2,4,2,0,0,0,2]"
180,4,1304.8418322497012,1879.0500000000002,"[4,0,0,4,0,0,0,0,2,0,0,4,2,0,2]"
181,4,1174.1948370500902,1931.9600000000003,"[2,0,2,0,2,0,0,0,4,0,2,0,4,2,2]"
182,4,1219.5422170910049,1671.4100000000003,"[0,0,2,4,0,0,0,0,0,4,0,0,4,0,4]"
183,4,1273.8427347484403,973.9200000000001,"[2,0,4,0,0,0,0,0,0,0,0,0,0,2,0]"
184,4,1360.3997356801426,690.25,"[2,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
185,4,1124.3390715197181,4059.4400000000005,"[2,2,4,2,2,2,4,0,0,2,2,0,4,4,4]"
186,4,1203.5515029065646,2371.55,"[0,0,2,0,4,0,0,0,4,2,4,0,4,0,4]"
187,4,1186.4294444106865,1902.15,"[2,0,2,0,0,0,4,0,4,0,2,0,4,0,4]"
188,4,1365.2760947500608,1351.3900000000003,"[2,0,0,0,0,2,2,0,4,2,0,2,0,0,0]"
